activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
release purchase requisition (1);2021-11-22 12:21:31;{};{};{};{300007};{};{}
goods issue for production order;2021-11-22 15:01:44;{990001};{};{DPC1018};{};{};{370}
convert to purchase order;2021-11-22 16:21:33;{};{};{HT-MEC0717};{300008};{70007};{548}
reject purchase order;2021-11-22 16:22:11;{};{};{};{};{70007};{}
create purchase requisition;2021-11-22 18:31:45;{};{};{HT-MEC0717};{300010};{};{548}
release purchase requisition (2);2021-11-23 09:37:29;{};{};{};{300007};{};{}
goods issue for production order;2021-11-23 11:04:19;{990002};{};{HT-S2011600-7};{};{};{272}
release purchase requisition (1);2021-11-23 11:36:06;{};{};{};{300010};{};{}
release purchase requisition (2);2021-11-23 12:05:31;{};{};{};{300009};{};{}
goods issue for production order;2021-11-23 13:00:55;{990002};{};{HT-MEC9417};{};{};{272}
convert to purchase order;2021-11-23 14:27:05;{};{};{DPC1015};{300009};{70008};{370}
goods issue for production order;2021-11-24 10:28:02;{990002};{};{AM2-540};{};{};{272}
confirm production order;2021-11-24 10:28:02;{990002};{CLIP-ON_MIC};{};{};{};{272}
release purchase requisition (2);2021-11-24 14:18:21;{};{};{};{300010};{};{}
convert to purchase order;2021-11-24 16:27:31;{};{};{AZ2-742};{300007};{70009};{274}
goods receipt for purchase order;2021-11-24 19:49:29;{};{};{ACT-BCD};{};{70006};{74}
convert to purchase order;2021-11-25 11:32:28;{};{};{HT-MEC0717};{300010};{70010};{548}
release purchase order;2021-11-25 14:56:25;{};{};{};{};{70009};{}
release purchase order;2021-11-26 10:58:02;{};{};{};{};{70010};{}
goods receipt for purchase order;2021-11-26 15:05:31;{};{};{HT-MEC0717};{};{70010};{548}
goods issue for production order;2021-11-29 09:26:46;{990003};{};{ACT-BCD};{};{};{74}
confirm production order;2021-11-29 09:26:46;{990003};{ACT-DCD-11};{};{};{};{74}
goods receipt for purchase order;2021-11-29 11:48:18;{};{};{AZ2-742};{};{70009};{274}
reject purchase order;2021-11-29 17:01:24;{};{};{};{};{70008};{}
goods issue for production order;2021-11-30 10:29:21;{990004};{};{AZ2-742};{};{};{274}
create purchase requisition;2021-11-30 11:53:53;{};{};{DPC1015};{300011};{};{370}
release purchase requisition (1);2021-11-30 14:37:00;{};{};{};{300011};{};{}
release purchase requisition (2);2021-12-01 08:55:48;{};{};{};{300011};{};{}
convert to purchase order;2021-12-02 13:00:10;{};{};{DPC1015};{300011};{70011};{370}
release purchase order;2021-12-03 10:17:22;{};{};{};{};{70011};{}
goods issue for production order;2021-12-03 10:34:24;{990004};{};{HT-MEC0717};{};{};{548}
confirm production order;2021-12-03 10:34:24;{990004};{IBP-120};{};{};{};{274}
goods receipt for purchase order;2021-12-03 10:35:30;{};{};{DPC1015};{};{70011};{370}
goods issue for production order;2021-12-08 14:10:34;{990001};{};{DPC1015};{};{};{370}
confirm production order;2021-12-08 14:10:34;{990001};{000000000050066346};{};{};{};{370}
create production order;2021-12-09 14:38:42;{990020};{ACT-DCD-11};{ACT-BCD};{};{};{488}
create purchase requisition;2021-12-09 16:17:22;{};{};{ACT-BCD};{300012};{};{488}
create production order;2021-12-10 15:28:21;{990013};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{59}
release purchase requisition (1);2021-12-10 16:04:45;{};{};{};{300012};{};{}
create purchase requisition;2021-12-13 14:22:40;{};{};{HT-S2011600-7};{300013};{};{59}
create purchase requisition;2021-12-13 16:49:56;{};{};{AM2-540};{300014};{};{59}
create production order;2021-12-13 16:56:33;{990023};{000000000050066346};{DPC1015,DPC1018};{};{};{146}
release purchase requisition (1);2021-12-13 19:17:58;{};{};{};{300013};{};{}
release purchase requisition (2);2021-12-14 09:09:56;{};{};{};{300013};{};{}
create purchase requisition;2021-12-14 11:09:38;{};{};{HT-MEC9417};{300015};{};{59}
release purchase requisition (1);2021-12-14 11:21:32;{};{};{};{300014};{};{}
convert to purchase order;2021-12-14 12:27:46;{};{};{HT-S2011600-7};{300013};{70012};{59}
convert to purchase order;2021-12-14 12:33:09;{};{};{ACT-BCD};{300012};{70013};{488}
release purchase requisition (1);2021-12-14 12:37:40;{};{};{};{300015};{};{}
release purchase requisition (2);2021-12-14 14:29:37;{};{};{};{300015};{};{}
release purchase order;2021-12-14 14:45:33;{};{};{};{};{70012};{}
create purchase requisition;2021-12-14 15:41:36;{};{};{DPC1018};{300016};{};{146}
goods receipt for purchase order;2021-12-14 15:52:07;{};{};{HT-S2011600-7};{};{70012};{59}
convert to purchase order;2021-12-14 17:22:44;{};{};{HT-MEC9417};{300015};{70014};{59}
convert to purchase order;2021-12-14 18:18:47;{};{};{AM2-540};{300014};{70015};{59}
release purchase requisition (1);2021-12-15 10:35:06;{};{};{};{300016};{};{}
release purchase order;2021-12-15 11:42:28;{};{};{};{};{70014};{}
release purchase requisition (2);2021-12-15 12:31:14;{};{};{};{300016};{};{}
create purchase requisition;2021-12-15 16:46:39;{};{};{DPC1015};{300017};{};{146}
release purchase order;2021-12-15 21:44:06;{};{};{};{};{70015};{}
release purchase requisition (1);2021-12-16 09:59:06;{};{};{};{300017};{};{}
release purchase requisition (2);2021-12-16 17:19:23;{};{};{};{300017};{};{}
convert to purchase order;2021-12-16 19:19:13;{};{};{DPC1018};{300016};{70016};{146}
goods receipt for purchase order;2021-12-17 10:59:05;{};{};{AM2-540};{};{70015};{59}
convert to purchase order;2021-12-17 11:27:11;{};{};{DPC1015};{300017};{70017};{146}
goods receipt for purchase order;2021-12-17 15:43:56;{};{};{HT-MEC9417};{};{70014};{59}
release purchase order;2021-12-20 13:55:22;{};{};{};{};{70016};{}
release purchase order;2021-12-20 14:59:31;{};{};{};{};{70013};{}
release purchase order;2021-12-20 16:03:24;{};{};{};{};{70017};{}
goods receipt for purchase order;2021-12-21 09:57:57;{};{};{DPC1015};{};{70017};{146}
create production order;2021-12-21 19:46:21;{990010};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{111}
goods receipt for purchase order;2021-12-23 10:37:00;{};{};{DPC1018};{};{70016};{146}
goods issue for production order;2021-12-23 11:53:48;{990023};{};{DPC1018};{};{};{146}
create purchase requisition;2021-12-24 13:09:05;{};{};{AZ2-742};{300018};{};{111}
create purchase requisition;2021-12-24 15:44:13;{};{};{HT-MEC0717};{300019};{};{222}
release purchase requisition (1);2021-12-27 08:49:41;{};{};{};{300018};{};{}
release purchase requisition (1);2021-12-27 10:23:16;{};{};{};{300019};{};{}
goods receipt for purchase order;2021-12-27 11:11:28;{};{};{ACT-BCD};{};{70013};{488}
release purchase requisition (2);2021-12-28 09:55:36;{};{};{};{300019};{};{}
release purchase requisition (2);2021-12-28 11:06:13;{};{};{};{300018};{};{}
convert to purchase order;2021-12-28 11:41:04;{};{};{HT-MEC0717};{300019};{70018};{222}
convert to purchase order;2021-12-28 14:27:49;{};{};{AZ2-742};{300018};{70019};{111}
goods issue for production order;2021-12-29 10:18:45;{990023};{};{DPC1015};{};{};{146}
confirm production order;2021-12-29 10:18:45;{990023};{000000000050066346};{};{};{};{146}
goods issue for production order;2021-12-30 09:44:20;{990020};{};{ACT-BCD};{};{};{488}
confirm production order;2021-12-30 09:44:20;{990020};{ACT-DCD-11};{};{};{};{488}
release purchase order;2021-12-31 11:42:12;{};{};{};{};{70018};{}
goods receipt for purchase order;2021-12-31 14:47:28;{};{};{HT-MEC0717};{};{70018};{222}
goods issue for production order;2022-01-03 12:53:45;{990010};{};{HT-MEC0717};{};{};{222}
goods issue for production order;2022-01-03 17:28:28;{990013};{};{HT-MEC9417};{};{};{59}
goods issue for production order;2022-01-03 19:11:42;{990013};{};{HT-S2011600-7};{};{};{59}
release purchase order;2022-01-04 16:24:34;{};{};{};{};{70019};{}
goods issue for production order;2022-01-04 16:42:56;{990013};{};{AM2-540};{};{};{59}
confirm production order;2022-01-04 16:42:56;{990013};{CLIP-ON_MIC};{};{};{};{59}
create production order;2022-01-05 10:34:28;{990021};{ACT-DCD-11};{ACT-BCD};{};{};{220}
goods receipt for purchase order;2022-01-05 11:07:38;{};{};{AZ2-742};{};{70019};{111}
goods issue for production order;2022-01-06 10:22:17;{990010};{};{AZ2-742};{};{};{111}
confirm production order;2022-01-06 10:22:17;{990010};{IBP-120};{};{};{};{111}
create purchase requisition;2022-01-06 11:39:37;{};{};{ACT-BCD};{300020};{};{220}
release purchase requisition (1);2022-01-10 14:27:08;{};{};{};{300020};{};{}
create production order;2022-01-11 09:29:48;{990012};{000000000050066346};{DPC1015,DPC1018};{};{};{477}
create purchase requisition;2022-01-11 14:36:59;{};{};{DPC1015};{300021};{};{477}
release purchase requisition (2);2022-01-11 14:50:39;{};{};{};{300020};{};{}
convert to purchase order;2022-01-11 17:27:09;{};{};{ACT-BCD};{300020};{70020};{220}
release purchase requisition (1);2022-01-12 10:00:13;{};{};{};{300021};{};{}
create production order;2022-01-12 15:57:38;{990019};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{306}
create purchase requisition;2022-01-12 16:33:47;{};{};{DPC1018};{300022};{};{477}
release purchase requisition (1);2022-01-13 10:50:42;{};{};{};{300022};{};{}
release purchase order;2022-01-13 14:08:23;{};{};{};{};{70020};{}
create purchase requisition;2022-01-13 16:03:18;{};{};{AZ2-742};{300023};{};{306}
release purchase requisition (2);2022-01-13 16:12:06;{};{};{};{300021};{};{}
release purchase requisition (2);2022-01-13 17:04:50;{};{};{};{300022};{};{}
convert to purchase order;2022-01-13 17:37:36;{};{};{DPC1015};{300021};{70021};{477}
release purchase requisition (1);2022-01-14 08:53:41;{};{};{};{300023};{};{}
convert to purchase order;2022-01-14 10:52:01;{};{};{DPC1018};{300022};{70022};{477}
create purchase requisition;2022-01-14 13:17:43;{};{};{HT-MEC0717};{300024};{};{612}
release purchase requisition (1);2022-01-14 16:55:51;{};{};{};{300024};{};{}
release purchase requisition (2);2022-01-14 18:12:02;{};{};{};{300024};{};{}
convert to purchase order;2022-01-17 09:42:53;{};{};{HT-MEC0717};{300024};{70023};{612}
release purchase order;2022-01-17 16:27:15;{};{};{};{};{70023};{}
release purchase order;2022-01-17 17:23:52;{};{};{};{};{70021};{}
release purchase requisition (2);2022-01-17 19:42:17;{};{};{};{300023};{};{}
goods receipt for purchase order;2022-01-18 14:38:55;{};{};{DPC1015};{};{70021};{477}
release purchase order;2022-01-18 15:58:49;{};{};{};{};{70022};{}
goods issue for production order;2022-01-19 09:22:51;{990012};{};{DPC1015};{};{};{477}
goods receipt for purchase order;2022-01-19 14:16:48;{};{};{ACT-BCD};{};{70020};{220}
convert to purchase order;2022-01-19 15:43:56;{};{};{AZ2-742};{300023};{70024};{306}
goods receipt for purchase order;2022-01-19 16:46:44;{};{};{HT-MEC0717};{};{70023};{612}
release purchase order;2022-01-19 17:04:37;{};{};{};{};{70024};{}
goods receipt for purchase order;2022-01-19 18:39:26;{};{};{AZ2-742};{};{70024};{306}
goods receipt for purchase order;2022-01-20 09:48:44;{};{};{DPC1018};{};{70022};{477}
goods issue for production order;2022-01-20 09:59:51;{990019};{};{HT-MEC0717};{};{};{612}
goods issue for production order;2022-01-20 14:50:26;{990021};{};{ACT-BCD};{};{};{220}
confirm production order;2022-01-20 14:50:26;{990021};{ACT-DCD-11};{};{};{};{220}
goods issue for production order;2022-01-21 12:07:53;{990012};{};{DPC1018};{};{};{477}
confirm production order;2022-01-21 12:07:53;{990012};{000000000050066346};{};{};{};{477}
goods issue for production order;2022-01-25 11:01:31;{990019};{};{AZ2-742};{};{};{306}
confirm production order;2022-01-25 11:01:31;{990019};{IBP-120};{};{};{};{306}
create production order;2022-01-26 16:33:11;{990009};{ACT-DCD-11};{ACT-BCD};{};{};{342}
create purchase requisition;2022-01-26 18:40:07;{};{};{ACT-BCD};{300025};{};{342}
create production order;2022-01-27 09:00:39;{990024};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{62}
create production order;2022-01-27 09:11:15;{990036};{000000000050066346};{DPC1015,DPC1018};{};{};{144}
release purchase requisition (1);2022-01-27 11:21:32;{};{};{};{300025};{};{}
release purchase requisition (2);2022-01-28 10:39:09;{};{};{};{300025};{};{}
convert to purchase order;2022-01-28 11:52:23;{};{};{ACT-BCD};{300025};{70025};{342}
create purchase requisition;2022-01-28 15:28:04;{};{};{AM2-540};{300026};{};{62}
release purchase requisition (1);2022-01-28 15:49:01;{};{};{};{300026};{};{}
release purchase order;2022-01-31 10:21:52;{};{};{};{};{70025};{}
release purchase requisition (2);2022-01-31 16:33:55;{};{};{};{300026};{};{}
convert to purchase order;2022-01-31 18:28:28;{};{};{AM2-540};{300026};{70026};{62}
goods receipt for purchase order;2022-02-01 10:50:03;{};{};{ACT-BCD};{};{70025};{342}
create purchase requisition;2022-02-01 10:59:34;{};{};{HT-MEC9417};{300027};{};{62}
create purchase requisition;2022-02-01 15:47:37;{};{};{DPC1018};{300028};{};{144}
release purchase order;2022-02-01 17:05:15;{};{};{};{};{70026};{}
create purchase requisition;2022-02-01 22:22:23;{};{};{HT-S2011600-7};{300029};{};{62}
create purchase requisition;2022-02-02 08:42:34;{};{};{DPC1015};{300030};{};{144}
release purchase requisition (1);2022-02-02 09:43:23;{};{};{};{300029};{};{}
release purchase requisition (1);2022-02-02 10:11:57;{};{};{};{300027};{};{}
release purchase requisition (1);2022-02-02 10:17:17;{};{};{};{300030};{};{}
release purchase requisition (2);2022-02-02 11:55:55;{};{};{};{300027};{};{}
release purchase requisition (1);2022-02-02 13:06:53;{};{};{};{300028};{};{}
release purchase requisition (2);2022-02-02 14:09:43;{};{};{};{300028};{};{}
convert to purchase order;2022-02-02 14:42:18;{};{};{DPC1018};{300028};{70027};{144}
convert to purchase order;2022-02-02 16:41:03;{};{};{HT-MEC9417};{300027};{70028};{62}
release purchase requisition (2);2022-02-03 10:31:12;{};{};{};{300030};{};{}
convert to purchase order;2022-02-03 11:40:12;{};{};{HT-S2011600-7};{300029};{70029};{62}
convert to purchase order;2022-02-03 15:27:36;{};{};{DPC1015};{300030};{70030};{144}
release purchase order;2022-02-03 17:45:30;{};{};{};{};{70030};{}
release purchase order;2022-02-03 19:09:52;{};{};{};{};{70029};{}
goods receipt for purchase order;2022-02-03 19:17:25;{};{};{HT-S2011600-7};{};{70029};{62}
goods receipt for purchase order;2022-02-03 22:01:38;{};{};{DPC1015};{};{70030};{144}
release purchase order;2022-02-04 11:41:36;{};{};{};{};{70027};{}
release purchase order;2022-02-04 19:29:34;{};{};{};{};{70028};{}
goods issue for production order;2022-02-04 19:32:25;{990009};{};{ACT-BCD};{};{};{342}
confirm production order;2022-02-04 19:32:25;{990009};{ACT-DCD-11};{};{};{};{342}
goods receipt for purchase order;2022-02-07 09:57:41;{};{};{AM2-540};{};{70026};{62}
goods receipt for purchase order;2022-02-07 12:18:05;{};{};{HT-MEC9417};{};{70028};{62}
goods receipt for purchase order;2022-02-07 19:19:48;{};{};{DPC1018};{};{70027};{144}
create production order;2022-02-10 14:11:20;{990005};{ACT-DCD-11};{ACT-BCD};{};{};{360}
create purchase requisition;2022-02-11 10:08:49;{};{};{ACT-BCD};{300031};{};{360}
release purchase requisition (1);2022-02-14 15:43:43;{};{};{};{300031};{};{}
release purchase requisition (2);2022-02-14 22:26:33;{};{};{};{300031};{};{}
convert to purchase order;2022-02-15 12:03:24;{};{};{ACT-BCD};{300031};{70031};{360}
goods issue for production order;2022-02-15 15:40:28;{990036};{};{DPC1015};{};{};{144}
goods issue for production order;2022-02-17 17:15:28;{990036};{};{DPC1018};{};{};{144}
confirm production order;2022-02-17 17:15:28;{990036};{000000000050066346};{};{};{};{144}
create production order;2022-02-18 10:55:55;{990037};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{255}
release purchase order;2022-02-21 11:23:01;{};{};{};{};{70031};{}
goods receipt for purchase order;2022-02-21 14:29:05;{};{};{ACT-BCD};{};{70031};{360}
create purchase requisition;2022-02-21 14:59:01;{};{};{HT-MEC0717};{300032};{};{510}
create purchase requisition;2022-02-21 21:04:02;{};{};{AZ2-742};{300033};{};{255}
goods issue for production order;2022-02-22 12:18:28;{990005};{};{ACT-BCD};{};{};{360}
confirm production order;2022-02-22 12:18:28;{990005};{ACT-DCD-11};{};{};{};{360}
release purchase requisition (1);2022-02-22 12:23:22;{};{};{};{300032};{};{}
release purchase requisition (1);2022-02-22 16:47:00;{};{};{};{300033};{};{}
release purchase requisition (2);2022-02-22 16:51:52;{};{};{};{300032};{};{}
convert to purchase order;2022-02-23 09:44:27;{};{};{HT-MEC0717};{300032};{70032};{510}
release purchase requisition (2);2022-02-23 09:54:07;{};{};{};{300033};{};{}
convert to purchase order;2022-02-23 10:56:11;{};{};{AZ2-742};{300033};{70033};{255}
release purchase order;2022-02-23 15:16:45;{};{};{};{};{70033};{}
release purchase order;2022-02-24 09:33:29;{};{};{};{};{70032};{}
goods receipt for purchase order;2022-02-24 10:51:55;{};{};{HT-MEC0717};{};{70032};{510}
create production order;2022-03-01 08:49:26;{990040};{000000000050066346};{DPC1015,DPC1018};{};{};{324}
goods receipt for purchase order;2022-03-01 15:27:17;{};{};{AZ2-742};{};{70033};{255}
create purchase requisition;2022-03-02 11:04:34;{};{};{DPC1018};{300034};{};{324}
create purchase requisition;2022-03-02 11:41:00;{};{};{DPC1015};{300035};{};{324}
release purchase requisition (1);2022-03-02 12:09:42;{};{};{};{300034};{};{}
convert to purchase order;2022-03-02 14:46:57;{};{};{DPC1018};{300034};{70034};{324}
release purchase requisition (1);2022-03-02 15:14:09;{};{};{};{300035};{};{}
release purchase requisition (2);2022-03-02 17:47:35;{};{};{};{300035};{};{}
goods issue for production order;2022-03-03 12:53:51;{990037};{};{AZ2-742};{};{};{255}
convert to purchase order;2022-03-04 12:36:59;{};{};{DPC1015};{300035};{70035};{324}
create production order;2022-03-04 14:45:48;{990047};{ACT-DCD-11};{ACT-BCD};{};{};{339}
release purchase order;2022-03-04 16:26:27;{};{};{};{};{70035};{}
goods issue for production order;2022-03-04 16:27:45;{990037};{};{HT-MEC0717};{};{};{510}
confirm production order;2022-03-04 16:27:45;{990037};{IBP-120};{};{};{};{255}
create purchase requisition;2022-03-07 15:42:19;{};{};{ACT-BCD};{300036};{};{339}
release purchase requisition (1);2022-03-07 17:22:58;{};{};{};{300036};{};{}
goods receipt for purchase order;2022-03-09 12:04:38;{};{};{DPC1015};{};{70035};{324}
release purchase order;2022-03-09 12:39:54;{};{};{};{};{70034};{}
goods issue for production order;2022-03-09 14:35:43;{990040};{};{DPC1015};{};{};{324}
release purchase requisition (2);2022-03-09 14:38:54;{};{};{};{300036};{};{}
convert to purchase order;2022-03-09 15:47:35;{};{};{ACT-BCD};{300036};{70036};{339}
goods receipt for purchase order;2022-03-10 10:08:27;{};{};{DPC1018};{};{70034};{324}
goods issue for production order;2022-03-10 10:27:57;{990040};{};{DPC1018};{};{};{324}
confirm production order;2022-03-10 10:27:57;{990040};{000000000050066346};{};{};{};{324}
create production order;2022-03-10 15:08:36;{990049};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{214}
reject purchase order;2022-03-11 09:24:41;{};{};{};{};{70036};{}
create purchase requisition;2022-03-11 20:18:29;{};{};{ACT-BCD};{300037};{};{339}
release purchase requisition (1);2022-03-14 08:33:10;{};{};{};{300037};{};{}
goods issue for production order;2022-03-14 08:40:58;{990024};{};{AM2-540};{};{};{62}
goods issue for production order;2022-03-14 13:22:53;{990024};{};{HT-S2011600-7};{};{};{62}
create purchase requisition;2022-03-14 16:37:28;{};{};{AZ2-742};{300038};{};{214}
goods issue for production order;2022-03-15 08:47:55;{990024};{};{HT-MEC9417};{};{};{62}
confirm production order;2022-03-15 08:47:55;{990024};{CLIP-ON_MIC};{};{};{};{62}
create purchase requisition;2022-03-15 11:09:30;{};{};{HT-MEC0717};{300039};{};{428}
release purchase requisition (1);2022-03-15 11:28:53;{};{};{};{300038};{};{}
release purchase requisition (2);2022-03-15 13:33:48;{};{};{};{300038};{};{}
release purchase requisition (1);2022-03-15 15:48:08;{};{};{};{300039};{};{}
release purchase requisition (2);2022-03-15 16:40:13;{};{};{};{300037};{};{}
convert to purchase order;2022-03-15 16:48:14;{};{};{ACT-BCD};{300037};{70037};{339}
release purchase requisition (2);2022-03-17 14:54:29;{};{};{};{300039};{};{}
convert to purchase order;2022-03-17 16:29:29;{};{};{HT-MEC0717};{300039};{70038};{428}
convert to purchase order;2022-03-18 11:20:15;{};{};{AZ2-742};{300038};{70039};{214}
release purchase order;2022-03-18 13:11:42;{};{};{};{};{70038};{}
release purchase order;2022-03-18 15:21:23;{};{};{};{};{70039};{}
create production order;2022-03-18 16:04:31;{990045};{000000000050066346};{DPC1015,DPC1018};{};{};{436}
create purchase requisition;2022-03-18 16:06:03;{};{};{DPC1015};{300040};{};{436}
release purchase order;2022-03-18 21:39:18;{};{};{};{};{70037};{}
release purchase requisition (1);2022-03-21 09:38:43;{};{};{};{300040};{};{}
release purchase requisition (2);2022-03-21 09:56:19;{};{};{};{300040};{};{}
goods receipt for purchase order;2022-03-21 12:28:11;{};{};{AZ2-742};{};{70039};{214}
create production order;2022-03-21 12:41:07;{990011};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{94}
goods receipt for purchase order;2022-03-21 12:48:48;{};{};{HT-MEC0717};{};{70038};{428}
create purchase requisition;2022-03-22 10:03:35;{};{};{DPC1018};{300041};{};{436}
release purchase requisition (1);2022-03-22 12:32:18;{};{};{};{300041};{};{}
release purchase requisition (2);2022-03-22 12:43:51;{};{};{};{300041};{};{}
convert to purchase order;2022-03-22 14:16:40;{};{};{DPC1015};{300040};{70040};{436}
convert to purchase order;2022-03-22 14:17:08;{};{};{DPC1018};{300041};{70041};{436}
goods receipt for purchase order;2022-03-22 15:27:39;{};{};{ACT-BCD};{};{70037};{339}
release purchase order;2022-03-22 17:46:50;{};{};{};{};{70040};{}
create purchase requisition;2022-03-23 12:06:17;{};{};{HT-MEC9417};{300042};{};{94}
release purchase requisition (1);2022-03-23 14:30:25;{};{};{};{300042};{};{}
goods issue for production order;2022-03-23 15:54:21;{990047};{};{ACT-BCD};{};{};{339}
confirm production order;2022-03-23 15:54:21;{990047};{ACT-DCD-11};{};{};{};{339}
goods receipt for purchase order;2022-03-23 16:37:51;{};{};{DPC1015};{};{70040};{436}
release purchase requisition (2);2022-03-24 13:30:04;{};{};{};{300042};{};{}
create purchase requisition;2022-03-24 14:50:50;{};{};{AM2-540};{300043};{};{94}
reject purchase order;2022-03-24 14:51:23;{};{};{};{};{70041};{}
convert to purchase order;2022-03-24 17:29:25;{};{};{HT-MEC9417};{300042};{70042};{94}
release purchase requisition (1);2022-03-24 19:47:18;{};{};{};{300043};{};{}
create production order;2022-03-25 09:41:34;{990035};{ACT-DCD-11};{ACT-BCD};{};{};{109}
create purchase requisition;2022-03-25 10:59:37;{};{};{HT-S2011600-7};{300044};{};{94}
release purchase requisition (1);2022-03-25 13:00:26;{};{};{};{300044};{};{}
create purchase requisition;2022-03-25 13:13:28;{};{};{DPC1018};{300045};{};{436}
release purchase requisition (1);2022-03-25 13:24:19;{};{};{};{300045};{};{}
release purchase requisition (2);2022-03-25 18:27:36;{};{};{};{300044};{};{}
create purchase requisition;2022-03-28 08:27:57;{};{};{ACT-BCD};{300046};{};{109}
release purchase requisition (2);2022-03-28 09:00:42;{};{};{};{300045};{};{}
convert to purchase order;2022-03-28 09:36:14;{};{};{HT-S2011600-7};{300044};{70043};{94}
convert to purchase order;2022-03-28 10:05:16;{};{};{DPC1018};{300045};{70044};{436}
release purchase order;2022-03-28 12:48:55;{};{};{};{};{70042};{}
