activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
create production order;2021-12-16 18:28:19;{990021};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{187}
release purchase requisition (1);2021-12-17 15:31:56;{};{};{};{300013};{};{}
convert to purchase order;2021-12-17 16:09:48;{};{};{AZ2-742};{300011};{70012};{237}
create purchase requisition;2021-12-20 10:46:17;{};{};{AM2-540};{300014};{};{187}
release purchase order;2021-12-20 12:25:46;{};{};{};{};{70011};{}
release purchase requisition (2);2021-12-20 12:42:29;{};{};{};{300013};{};{}
create purchase requisition;2021-12-21 11:22:17;{};{};{HT-S2011600-7};{300015};{};{187}
release purchase requisition (1);2021-12-21 11:55:42;{};{};{};{300014};{};{}
release purchase requisition (2);2021-12-21 16:22:01;{};{};{};{300014};{};{}
convert to purchase order;2021-12-21 17:28:10;{};{};{HT-MEC0717};{300013};{70013};{474}
release purchase order;2021-12-22 08:45:34;{};{};{};{};{70013};{}
goods receipt for purchase order;2021-12-22 09:05:16;{};{};{ACT-BCD};{};{70011};{94}
release purchase requisition (1);2021-12-22 12:32:48;{};{};{};{300015};{};{}
reject purchase order;2021-12-22 12:35:59;{};{};{};{};{70012};{}
release purchase requisition (2);2021-12-22 14:15:52;{};{};{};{300015};{};{}
convert to purchase order;2021-12-22 14:18:07;{};{};{HT-S2011600-7};{300015};{70014};{187}
create purchase requisition;2021-12-22 14:46:44;{};{};{HT-MEC9417};{300016};{};{187}
release purchase requisition (1);2021-12-22 16:48:00;{};{};{};{300016};{};{}
release purchase requisition (2);2021-12-22 19:38:46;{};{};{};{300016};{};{}
release purchase order;2021-12-23 08:35:07;{};{};{};{};{70014};{}
convert to purchase order;2021-12-23 10:13:28;{};{};{HT-MEC9417};{300016};{70015};{187}
release purchase order;2021-12-23 13:22:33;{};{};{};{};{70015};{}
create purchase requisition;2021-12-23 13:47:20;{};{};{AZ2-742};{300017};{};{237}
release purchase requisition (1);2021-12-23 16:21:33;{};{};{};{300017};{};{}
release purchase requisition (2);2021-12-23 16:43:31;{};{};{};{300017};{};{}
goods receipt for purchase order;2021-12-24 08:55:30;{};{};{HT-MEC0717};{};{70013};{474}
convert to purchase order;2021-12-24 12:11:07;{};{};{AM2-540};{300014};{70016};{187}
convert to purchase order;2021-12-24 14:51:32;{};{};{AZ2-742};{300017};{70017};{237}
goods receipt for purchase order;2021-12-24 16:08:31;{};{};{HT-MEC9417};{};{70015};{187}
goods receipt for purchase order;2021-12-27 12:15:50;{};{};{HT-S2011600-7};{};{70014};{187}
goods issue for production order;2021-12-27 16:20:33;{990014};{};{ACT-BCD};{};{};{94}
confirm production order;2021-12-27 16:20:33;{990014};{ACT-DCD-11};{};{};{};{94}
goods issue for production order;2021-12-27 17:52:37;{990011};{};{HT-MEC0717};{};{};{474}
goods issue for production order;2021-12-28 10:20:58;{990021};{};{HT-S2011600-7};{};{};{187}
release purchase order;2021-12-28 10:44:34;{};{};{};{};{70016};{}
goods receipt for purchase order;2021-12-28 12:12:04;{};{};{AM2-540};{};{70016};{187}
goods issue for production order;2021-12-29 12:39:44;{990021};{};{HT-MEC9417};{};{};{187}
goods issue for production order;2021-12-29 14:47:52;{990021};{};{AM2-540};{};{};{187}
confirm production order;2021-12-29 14:47:52;{990021};{CLIP-ON_MIC};{};{};{};{187}
reject purchase order;2021-12-30 11:08:18;{};{};{};{};{70017};{}
create purchase requisition;2021-12-30 14:19:21;{};{};{AZ2-742};{300018};{};{237}
release purchase requisition (1);2021-12-31 16:10:37;{};{};{};{300018};{};{}
create production order;2021-12-31 20:56:33;{990024};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{116}
create purchase requisition;2022-01-03 09:51:09;{};{};{AM2-540};{300019};{};{116}
release purchase requisition (1);2022-01-03 11:46:57;{};{};{};{300019};{};{}
create purchase requisition;2022-01-03 17:03:31;{};{};{HT-S2011600-7};{300020};{};{116}
release purchase requisition (2);2022-01-03 17:47:15;{};{};{};{300018};{};{}
create production order;2022-01-03 17:52:28;{990027};{000000000050066346};{DPC1015,DPC1018};{};{};{19}
release purchase requisition (2);2022-01-03 19:37:39;{};{};{};{300019};{};{}
convert to purchase order;2022-01-04 09:39:39;{};{};{AM2-540};{300019};{70018};{116}
convert to purchase order;2022-01-04 10:06:05;{};{};{AZ2-742};{300018};{70019};{237}
create purchase requisition;2022-01-04 10:24:06;{};{};{HT-MEC9417};{300021};{};{116}
reject purchase order;2022-01-04 11:18:33;{};{};{};{};{70019};{}
create purchase requisition;2022-01-04 16:14:23;{};{};{AZ2-742};{300022};{};{237}
release purchase requisition (1);2022-01-05 08:39:30;{};{};{};{300020};{};{}
create purchase requisition;2022-01-05 09:54:08;{};{};{DPC1015};{300023};{};{19}
release purchase requisition (2);2022-01-05 13:11:39;{};{};{};{300020};{};{}
release purchase requisition (1);2022-01-05 13:52:15;{};{};{};{300023};{};{}
create purchase requisition;2022-01-05 15:20:28;{};{};{DPC1018};{300024};{};{19}
release purchase requisition (1);2022-01-06 09:23:22;{};{};{};{300024};{};{}
release purchase requisition (1);2022-01-06 12:01:20;{};{};{};{300022};{};{}
release purchase order;2022-01-06 12:04:24;{};{};{};{};{70018};{}
release purchase requisition (2);2022-01-06 13:08:18;{};{};{};{300024};{};{}
release purchase requisition (1);2022-01-06 14:46:07;{};{};{};{300021};{};{}
release purchase requisition (2);2022-01-06 16:07:21;{};{};{};{300022};{};{}
release purchase requisition (2);2022-01-06 16:29:42;{};{};{};{300021};{};{}
convert to purchase order;2022-01-06 16:33:07;{};{};{DPC1018};{300024};{70020};{19}
convert to purchase order;2022-01-06 16:45:15;{};{};{HT-S2011600-7};{300020};{70021};{116}
goods receipt for purchase order;2022-01-07 10:20:18;{};{};{AM2-540};{};{70018};{116}
create production order;2022-01-07 11:54:27;{990031};{ACT-DCD-11};{ACT-BCD};{};{};{146}
release purchase requisition (2);2022-01-07 12:34:58;{};{};{};{300023};{};{}
convert to purchase order;2022-01-07 13:49:56;{};{};{DPC1015};{300023};{70022};{19}
convert to purchase order;2022-01-07 14:23:46;{};{};{AZ2-742};{300022};{70023};{237}
release purchase order;2022-01-07 15:01:27;{};{};{};{};{70022};{}
goods receipt for purchase order;2022-01-07 17:18:10;{};{};{DPC1015};{};{70022};{19}
create purchase requisition;2022-01-07 17:27:00;{};{};{ACT-BCD};{300025};{};{146}
goods issue for production order;2022-01-07 21:32:04;{990024};{};{AM2-540};{};{};{116}
release purchase requisition (1);2022-01-10 10:48:01;{};{};{};{300025};{};{}
convert to purchase order;2022-01-10 11:33:15;{};{};{HT-MEC9417};{300021};{70024};{116}
release purchase order;2022-01-10 14:29:54;{};{};{};{};{70023};{}
release purchase order;2022-01-10 16:55:17;{};{};{};{};{70024};{}
goods receipt for purchase order;2022-01-11 15:09:29;{};{};{HT-MEC9417};{};{70024};{116}
release purchase requisition (2);2022-01-11 15:19:37;{};{};{};{300025};{};{}
release purchase order;2022-01-11 16:57:03;{};{};{};{};{70021};{}
convert to purchase order;2022-01-12 15:04:51;{};{};{ACT-BCD};{300025};{70025};{146}
goods receipt for purchase order;2022-01-13 11:46:53;{};{};{HT-S2011600-7};{};{70021};{116}
goods receipt for purchase order;2022-01-13 12:53:37;{};{};{AZ2-742};{};{70023};{237}
release purchase order;2022-01-13 16:31:15;{};{};{};{};{70020};{}
goods issue for production order;2022-01-13 16:32:16;{990027};{};{DPC1015};{};{};{19}
goods issue for production order;2022-01-14 12:58:12;{990024};{};{HT-MEC9417};{};{};{116}
goods receipt for purchase order;2022-01-17 12:28:47;{};{};{DPC1018};{};{70020};{19}
release purchase order;2022-01-18 09:32:02;{};{};{};{};{70025};{}
goods issue for production order;2022-01-18 14:46:42;{990024};{};{HT-S2011600-7};{};{};{116}
confirm production order;2022-01-18 14:46:42;{990024};{CLIP-ON_MIC};{};{};{};{116}
goods receipt for purchase order;2022-01-18 16:01:26;{};{};{ACT-BCD};{};{70025};{146}
goods issue for production order;2022-01-19 12:12:13;{990027};{};{DPC1018};{};{};{19}
confirm production order;2022-01-19 12:12:13;{990027};{000000000050066346};{};{};{};{19}
goods issue for production order;2022-01-20 10:43:39;{990011};{};{AZ2-742};{};{};{237}
confirm production order;2022-01-20 10:43:39;{990011};{IBP-120};{};{};{};{237}
goods issue for production order;2022-01-21 15:55:11;{990031};{};{ACT-BCD};{};{};{146}
confirm production order;2022-01-21 15:55:11;{990031};{ACT-DCD-11};{};{};{};{146}
create production order;2022-01-25 09:06:06;{990013};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{288}
create purchase requisition;2022-01-25 09:07:20;{};{};{AM2-540};{300026};{};{288}
create purchase requisition;2022-01-25 16:52:50;{};{};{HT-MEC9417};{300027};{};{288}
release purchase requisition (1);2022-01-26 10:30:07;{};{};{};{300027};{};{}
release purchase requisition (1);2022-01-26 12:11:09;{};{};{};{300026};{};{}
release purchase requisition (2);2022-01-26 15:02:13;{};{};{};{300026};{};{}
create purchase requisition;2022-01-26 15:51:28;{};{};{HT-S2011600-7};{300028};{};{288}
create production order;2022-01-26 17:10:57;{990047};{000000000050066346};{DPC1015,DPC1018};{};{};{160}
create production order;2022-01-27 09:33:08;{990019};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{32}
create purchase requisition;2022-01-27 10:41:00;{};{};{DPC1018};{300029};{};{160}
release purchase requisition (1);2022-01-27 13:50:31;{};{};{};{300029};{};{}
convert to purchase order;2022-01-27 15:52:14;{};{};{AM2-540};{300026};{70026};{288}
release purchase requisition (1);2022-01-27 16:04:44;{};{};{};{300028};{};{}
release purchase requisition (2);2022-01-27 16:45:18;{};{};{};{300029};{};{}
create purchase requisition;2022-01-27 17:43:33;{};{};{HT-MEC0717};{300030};{};{64}
release purchase requisition (1);2022-01-27 17:48:42;{};{};{};{300030};{};{}
release purchase requisition (2);2022-01-28 09:44:12;{};{};{};{300027};{};{}
convert to purchase order;2022-01-28 11:43:52;{};{};{HT-MEC9417};{300027};{70027};{288}
convert to purchase order;2022-01-28 15:30:42;{};{};{DPC1018};{300029};{70028};{160}
release purchase requisition (2);2022-01-31 10:13:43;{};{};{};{300028};{};{}
create purchase requisition;2022-01-31 11:04:16;{};{};{AZ2-742};{300031};{};{32}
reject purchase order;2022-01-31 13:54:28;{};{};{};{};{70028};{}
release purchase requisition (1);2022-01-31 15:56:49;{};{};{};{300031};{};{}
release purchase requisition (2);2022-01-31 16:43:10;{};{};{};{300030};{};{}
release purchase requisition (2);2022-01-31 17:23:10;{};{};{};{300031};{};{}
release purchase order;2022-01-31 18:04:10;{};{};{};{};{70026};{}
create production order;2022-01-31 18:47:39;{990043};{ACT-DCD-11};{ACT-BCD};{};{};{274}
create purchase requisition;2022-02-01 08:28:12;{};{};{DPC1015};{300032};{};{160}
release purchase requisition (1);2022-02-01 09:47:07;{};{};{};{300032};{};{}
create purchase requisition;2022-02-01 10:17:29;{};{};{DPC1018};{300033};{};{160}
goods receipt for purchase order;2022-02-01 14:38:50;{};{};{AM2-540};{};{70026};{288}
convert to purchase order;2022-02-01 14:47:07;{};{};{HT-S2011600-7};{300028};{70029};{288}
create purchase requisition;2022-02-01 17:59:33;{};{};{ACT-BCD};{300034};{};{274}
convert to purchase order;2022-02-01 18:29:12;{};{};{HT-MEC0717};{300030};{70030};{64}
release purchase requisition (1);2022-02-01 19:27:28;{};{};{};{300034};{};{}
release purchase requisition (1);2022-02-02 08:18:08;{};{};{};{300033};{};{}
convert to purchase order;2022-02-02 09:15:54;{};{};{AZ2-742};{300031};{70031};{32}
release purchase requisition (2);2022-02-02 10:23:22;{};{};{};{300034};{};{}
release purchase order;2022-02-02 11:58:10;{};{};{};{};{70031};{}
release purchase requisition (2);2022-02-02 15:04:01;{};{};{};{300032};{};{}
convert to purchase order;2022-02-02 15:10:01;{};{};{ACT-BCD};{300034};{70032};{274}
release purchase order;2022-02-02 17:59:25;{};{};{};{};{70030};{}
goods receipt for purchase order;2022-02-02 19:55:36;{};{};{HT-MEC0717};{};{70030};{64}
convert to purchase order;2022-02-03 10:30:05;{};{};{DPC1015};{300032};{70033};{160}
release purchase order;2022-02-03 11:56:47;{};{};{};{};{70032};{}
release purchase requisition (2);2022-02-03 16:49:01;{};{};{};{300033};{};{}
goods receipt for purchase order;2022-02-04 11:41:41;{};{};{ACT-BCD};{};{70032};{274}
convert to purchase order;2022-02-04 14:17:01;{};{};{DPC1018};{300033};{70034};{160}
reject purchase order;2022-02-04 21:41:27;{};{};{};{};{70027};{}
create purchase requisition;2022-02-07 10:08:39;{};{};{HT-MEC9417};{300035};{};{288}
release purchase requisition (1);2022-02-07 10:46:10;{};{};{};{300035};{};{}
release purchase order;2022-02-07 16:00:43;{};{};{};{};{70034};{}
goods issue for production order;2022-02-08 08:49:48;{990013};{};{AM2-540};{};{};{288}
release purchase requisition (2);2022-02-08 13:27:16;{};{};{};{300035};{};{}
convert to purchase order;2022-02-08 14:39:03;{};{};{HT-MEC9417};{300035};{70035};{288}
reject purchase order;2022-02-08 18:42:12;{};{};{};{};{70033};{}
goods receipt for purchase order;2022-02-09 11:30:37;{};{};{DPC1018};{};{70034};{160}
create purchase requisition;2022-02-09 11:57:26;{};{};{DPC1015};{300036};{};{160}
release purchase requisition (1);2022-02-09 16:17:38;{};{};{};{300036};{};{}
reject purchase order;2022-02-10 12:22:29;{};{};{};{};{70029};{}
goods receipt for purchase order;2022-02-10 12:47:37;{};{};{AZ2-742};{};{70031};{32}
create purchase requisition;2022-02-10 13:43:13;{};{};{HT-S2011600-7};{300037};{};{288}
release purchase order;2022-02-11 09:14:08;{};{};{};{};{70035};{}
release purchase requisition (2);2022-02-11 09:16:35;{};{};{};{300036};{};{}
convert to purchase order;2022-02-14 11:47:43;{};{};{DPC1015};{300036};{70036};{160}
goods issue for production order;2022-02-14 17:19:07;{990043};{};{ACT-BCD};{};{};{274}
confirm production order;2022-02-14 17:19:07;{990043};{ACT-DCD-11};{};{};{};{274}
release purchase requisition (1);2022-02-15 09:29:19;{};{};{};{300037};{};{}
goods receipt for purchase order;2022-02-15 10:25:30;{};{};{HT-MEC9417};{};{70035};{288}
release purchase requisition (2);2022-02-15 17:20:18;{};{};{};{300037};{};{}
release purchase order;2022-02-15 19:19:18;{};{};{};{};{70036};{}
goods receipt for purchase order;2022-02-16 16:04:43;{};{};{DPC1015};{};{70036};{160}
convert to purchase order;2022-02-17 10:07:30;{};{};{HT-S2011600-7};{300037};{70037};{288}
release purchase order;2022-02-17 13:08:27;{};{};{};{};{70037};{}
create production order;2022-02-18 14:21:37;{990039};{ACT-DCD-11};{ACT-BCD};{};{};{120}
goods issue for production order;2022-02-21 15:45:48;{990047};{};{DPC1018};{};{};{160}
goods issue for production order;2022-02-21 18:07:29;{990013};{};{HT-MEC9417};{};{};{288}
goods issue for production order;2022-02-23 16:06:04;{990047};{};{DPC1015};{};{};{160}
confirm production order;2022-02-23 16:06:04;{990047};{000000000050066346};{};{};{};{160}
goods receipt for purchase order;2022-02-24 09:36:58;{};{};{HT-S2011600-7};{};{70037};{288}
create purchase requisition;2022-02-24 10:46:07;{};{};{ACT-BCD};{300038};{};{120}
goods issue for production order;2022-02-24 12:36:42;{990013};{};{HT-S2011600-7};{};{};{288}
confirm production order;2022-02-24 12:36:42;{990013};{CLIP-ON_MIC};{};{};{};{288}
goods issue for production order;2022-02-24 17:49:53;{990019};{};{HT-MEC0717};{};{};{64}
release purchase requisition (1);2022-02-25 11:39:30;{};{};{};{300038};{};{}
goods issue for production order;2022-02-25 15:17:38;{990019};{};{AZ2-742};{};{};{32}
confirm production order;2022-02-25 15:17:38;{990019};{IBP-120};{};{};{};{32}
release purchase requisition (2);2022-02-28 16:39:34;{};{};{};{300038};{};{}
convert to purchase order;2022-03-01 13:03:16;{};{};{ACT-BCD};{300038};{70038};{120}
release purchase order;2022-03-01 14:34:44;{};{};{};{};{70038};{}
create production order;2022-03-01 17:06:07;{990046};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{212}
create purchase requisition;2022-03-01 17:44:28;{};{};{AZ2-742};{300039};{};{212}
goods receipt for purchase order;2022-03-02 10:44:10;{};{};{ACT-BCD};{};{70038};{120}
create purchase requisition;2022-03-02 14:18:54;{};{};{HT-MEC0717};{300040};{};{424}
release purchase requisition (1);2022-03-02 16:04:12;{};{};{};{300039};{};{}
release purchase requisition (1);2022-03-02 17:09:42;{};{};{};{300040};{};{}
release purchase requisition (2);2022-03-03 11:16:45;{};{};{};{300040};{};{}
convert to purchase order;2022-03-03 11:22:00;{};{};{HT-MEC0717};{300040};{70039};{424}
release purchase requisition (2);2022-03-04 10:50:21;{};{};{};{300039};{};{}
release purchase order;2022-03-04 12:14:21;{};{};{};{};{70039};{}
goods receipt for purchase order;2022-03-04 15:03:26;{};{};{HT-MEC0717};{};{70039};{424}
convert to purchase order;2022-03-07 14:54:44;{};{};{AZ2-742};{300039};{70040};{212}
goods issue for production order;2022-03-07 19:06:43;{990039};{};{ACT-BCD};{};{};{120}
confirm production order;2022-03-07 19:06:43;{990039};{ACT-DCD-11};{};{};{};{120}
release purchase order;2022-03-08 10:11:31;{};{};{};{};{70040};{}
create production order;2022-03-08 14:55:00;{990038};{000000000050066346};{DPC1015,DPC1018};{};{};{62}
create purchase requisition;2022-03-08 16:01:54;{};{};{DPC1015};{300041};{};{62}
create purchase requisition;2022-03-09 08:31:36;{};{};{DPC1018};{300042};{};{62}
goods receipt for purchase order;2022-03-09 09:33:23;{};{};{AZ2-742};{};{70040};{212}
create production order;2022-03-09 14:31:52;{990049};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{135}
release purchase requisition (1);2022-03-09 14:35:11;{};{};{};{300042};{};{}
release purchase requisition (1);2022-03-09 14:45:41;{};{};{};{300041};{};{}
create production order;2022-03-09 15:53:09;{990012};{ACT-DCD-11};{ACT-BCD};{};{};{297}
release purchase requisition (2);2022-03-10 13:09:41;{};{};{};{300042};{};{}
convert to purchase order;2022-03-10 14:22:25;{};{};{DPC1018};{300042};{70041};{62}
create purchase requisition;2022-03-10 14:52:19;{};{};{ACT-BCD};{300043};{};{297}
reject purchase order;2022-03-10 15:49:16;{};{};{};{};{70041};{}
release purchase requisition (2);2022-03-10 17:33:30;{};{};{};{300041};{};{}
release purchase requisition (1);2022-03-10 18:47:15;{};{};{};{300043};{};{}
convert to purchase order;2022-03-11 09:12:29;{};{};{DPC1015};{300041};{70042};{62}
create purchase requisition;2022-03-11 13:46:19;{};{};{DPC1018};{300044};{};{62}
release purchase requisition (1);2022-03-11 15:21:18;{};{};{};{300044};{};{}
create purchase requisition;2022-03-11 17:05:41;{};{};{AM2-540};{300045};{};{135}
release purchase order;2022-03-14 11:50:44;{};{};{};{};{70042};{}
release purchase requisition (2);2022-03-14 13:15:51;{};{};{};{300043};{};{}
release purchase requisition (1);2022-03-14 14:49:19;{};{};{};{300045};{};{}
convert to purchase order;2022-03-14 14:51:04;{};{};{ACT-BCD};{300043};{70043};{297}
create purchase requisition;2022-03-14 15:25:09;{};{};{HT-S2011600-7};{300046};{};{135}
release purchase requisition (2);2022-03-15 08:47:19;{};{};{};{300044};{};{}
convert to purchase order;2022-03-15 14:55:37;{};{};{DPC1018};{300044};{70044};{62}
goods receipt for purchase order;2022-03-15 15:50:44;{};{};{DPC1015};{};{70042};{62}
release purchase order;2022-03-15 16:25:24;{};{};{};{};{70044};{}
create purchase requisition;2022-03-15 19:02:18;{};{};{HT-MEC9417};{300047};{};{135}
release purchase requisition (1);2022-03-16 08:05:00;{};{};{};{300047};{};{}
release purchase requisition (2);2022-03-16 09:13:49;{};{};{};{300047};{};{}
convert to purchase order;2022-03-16 10:37:16;{};{};{HT-MEC9417};{300047};{70045};{135}
release purchase requisition (2);2022-03-16 10:51:34;{};{};{};{300045};{};{}
convert to purchase order;2022-03-16 12:32:35;{};{};{AM2-540};{300045};{70046};{135}
release purchase requisition (1);2022-03-16 13:42:26;{};{};{};{300046};{};{}
goods receipt for purchase order;2022-03-17 08:36:30;{};{};{DPC1018};{};{70044};{62}
release purchase requisition (2);2022-03-17 11:17:42;{};{};{};{300046};{};{}
release purchase order;2022-03-17 14:05:47;{};{};{};{};{70043};{}
